GO_planfase;treinnr;drp;act;plantijd
SD;40016;Zvg;D;2025-01-04 12:49:00
SD;40016;Zvo;D;2025-01-04 12:50:00
SD;40016;Zvbtwa;D;2025-01-04 12:51:00
SD;40016;Brdvno;D;2025-01-04 12:55:00
SD;40022;Zvg;D;2025-01-04 17:19:00
SD;40022;Zvo;D;2025-01-04 17:20:00
SD;40022;Zvbtwa;D;2025-01-04 17:21:00
SD;40022;Brdvno;D;2025-01-04 17:25:00
SD;40022;Zvg;D;2025-01-11 17:19:00
SD;40022;Zvo;D;2025-01-11 17:20:00
SD;40022;Zvbtwa;D;2025-01-11 17:21:00
SD;40022;Brdvno;D;2025-01-11 17:25:00
SD;40022;Zvg;D;2025-01-25 22:29:00
SD;40022;Zvo;D;2025-01-25 22:30:00
SD;40022;Zvbtwa;D;2025-01-25 22:31:00
SD;40022;Brdvno;D;2025-01-25 22:35:00
SD;40022;Zvg;D;2025-02-01 17:19:00
SD;40022;Zvo;D;2025-02-01 17:20:00
SD;40022;Zvbtwa;D;2025-02-01 17:21:00
SD;40022;Brdvno;D;2025-02-01 17:25:00
SD;40022;Zvg;D;2025-02-08 16:59:00
SD;40022;Zvo;D;2025-02-08 17:00:00
SD;40022;Zvbtwa;D;2025-02-08 17:01:00
SD;40022;Brdvno;D;2025-02-08 17:05:00
SD;40022;Zvg;D;2025-02-15 17:19:00
SD;40022;Zvo;D;2025-02-15 17:20:00
SD;40022;Zvbtwa;D;2025-02-15 17:21:00
SD;40022;Brdvno;D;2025-02-15 17:25:00
SD;40022;Zvg;D;2025-03-08 17:19:00
SD;40022;Zvo;D;2025-03-08 17:20:00
SD;40022;Zvbtwa;D;2025-03-08 17:21:00
SD;40022;Brdvno;D;2025-03-08 17:25:00
SD;40022;Zvg;D;2025-03-15 16:20:00
SD;40022;Zvo;D;2025-03-15 16:21:00
SD;40022;Zvbtwa;D;2025-03-15 16:22:00
SD;40022;Brdvno;D;2025-03-15 16:26:00
SD;40022;Zvg;D;2025-03-23 10:59:00
SD;40022;Zvo;D;2025-03-23 11:00:00
SD;40022;Zvbtwa;D;2025-03-23 11:01:00
SD;40022;Brdvno;D;2025-03-23 11:05:00
SD;40022;Zvg;D;2025-03-29 20:49:00
SD;40022;Zvo;D;2025-03-29 20:50:00
SD;40022;Zvbtwa;D;2025-03-29 20:51:00
SD;40022;Brdvno;D;2025-03-29 20:55:00
SD;40024;Zvg;D;2025-01-20 14:11:00
SD;40024;Zvo;D;2025-01-20 14:12:00
SD;40024;Zvbtwa;D;2025-01-20 14:13:00
SD;40024;Brdvno;D;2025-01-20 14:17:00
SD;40024;Zvg;D;2025-02-03 02:40:00
SD;40024;Zvo;D;2025-02-03 02:41:00
SD;40024;Zvbtwa;D;2025-02-03 02:42:00
SD;40024;Brdvno;D;2025-02-03 02:46:00
SD;40035;Ah;D;2025-03-02 23:50:00
SD;40035;Ahp;D;2025-03-02 23:51:00
SD;40035;Va;D;2025-03-02 23:52:00
SD;40035;IJbww;D;2025-03-02 23:54:00
SD;40035;Wtv;D;2025-03-02 23:55:00
SD;40035;Dvn;D;2025-03-02 23:58:00
SD;40035;Zv;D;2025-03-03 00:02:00
SD;40045;Brdvno;D;2025-02-04 05:09:00
SD;40045;Zvbtwa;D;2025-02-04 05:14:00
SD;40045;Zvo;D;2025-02-04 05:15:00
SD;40045;Zvg;D;2025-02-04 05:16:00
SD;40045;Brdvno;D;2025-02-11 04:46:00
SD;40045;Zvbtwa;D;2025-02-11 04:51:00
SD;40045;Zvo;D;2025-02-11 04:52:00
SD;40045;Zvg;D;2025-02-11 04:53:00
SD;40045;Brdvno;D;2025-02-18 03:09:00
SD;40045;Zvbtwa;D;2025-02-18 03:14:00
SD;40045;Zvo;D;2025-02-18 03:15:00
SD;40045;Zvg;D;2025-02-18 03:16:00
SD;40045;Brdvno;D;2025-03-04 03:09:00
SD;40045;Zvbtwa;D;2025-03-04 03:14:00
SD;40045;Zvo;D;2025-03-04 03:15:00
SD;40045;Zvg;D;2025-03-04 03:16:00
SD;40045;Brdvno;D;2025-03-11 03:53:00
SD;40045;Zvbtwa;D;2025-03-11 03:58:00
SD;40045;Zvo;D;2025-03-11 03:59:00
SD;40045;Zvg;D;2025-03-11 04:00:00
SD;40045;Brdvno;D;2025-03-18 01:59:00
SD;40045;Zvbtwa;D;2025-03-18 02:04:00
SD;40045;Zvo;D;2025-03-18 02:05:00
SD;40045;Zvg;D;2025-03-18 02:06:00
SD;40045;Brdvno;D;2025-03-25 07:58:00
SD;40045;Zvbtwa;D;2025-03-25 08:03:00
SD;40045;Zvo;D;2025-03-25 08:04:00
SD;40045;Zvg;D;2025-03-25 08:05:00
SD;40045;Brdvno;D;2025-04-01 03:09:00
SD;40045;Zvbtwa;D;2025-04-01 03:14:00
SD;40045;Zvo;D;2025-04-01 03:15:00
SD;40045;Zvg;D;2025-04-01 03:16:00
SD;40045;Brdvno;D;2025-04-08 03:09:00
SD;40045;Zvbtwa;D;2025-04-08 03:14:00
SD;40045;Zvo;D;2025-04-08 03:15:00
SD;40045;Zvg;D;2025-04-08 03:16:00
SD;40045;Brdvno;D;2025-04-29 03:39:00
SD;40045;Zvbtwa;D;2025-04-29 03:44:00
SD;40045;Zvo;D;2025-04-29 03:45:00
SD;40045;Zvg;D;2025-04-29 03:46:00
SD;40048;Zvg;D;2025-02-08 14:09:00
SD;40048;Zvo;D;2025-02-08 14:10:00
SD;40048;Zvbtwa;D;2025-02-08 14:11:00
SD;40048;Brdvno;D;2025-02-08 14:15:00
SD;40048;Zvg;D;2025-02-15 13:39:00
SD;40048;Zvo;D;2025-02-15 13:40:00
SD;40048;Zvbtwa;D;2025-02-15 13:41:00
SD;40048;Brdvno;D;2025-02-15 13:45:00
SD;40048;Zvg;D;2025-03-08 13:39:00
SD;40048;Zvo;D;2025-03-08 13:40:00
SD;40048;Zvbtwa;D;2025-03-08 13:41:00
SD;40048;Brdvno;D;2025-03-08 13:45:00
SD;40048;Zvg;D;2025-03-16 08:29:00
SD;40048;Zvo;D;2025-03-16 08:30:00
SD;40048;Zvbtwa;D;2025-03-16 08:31:00
SD;40048;Brdvno;D;2025-03-16 08:35:00
SD;40048;Zvg;D;2025-03-22 20:59:00
SD;40048;Zvo;D;2025-03-22 21:00:00
SD;40048;Zvbtwa;D;2025-03-22 21:01:00
SD;40048;Brdvno;D;2025-03-22 21:05:00
SD;40048;Zvg;D;2025-03-29 14:29:00
SD;40048;Zvo;D;2025-03-29 14:30:00
SD;40048;Zvbtwa;D;2025-03-29 14:31:00
SD;40048;Brdvno;D;2025-03-29 14:35:00
SD;40048;Zvg;D;2025-04-05 15:08:00
SD;40048;Zvo;D;2025-04-05 15:09:00
SD;40048;Zvbtwa;D;2025-04-05 15:10:00
SD;40048;Brdvno;D;2025-04-05 15:14:00
SD;40050;Zvg;D;2025-01-04 09:39:00
SD;40050;Zvo;D;2025-01-04 09:40:00
SD;40050;Zvbtwa;D;2025-01-04 09:41:00
SD;40050;Brdvno;D;2025-01-04 09:45:00
SD;40051;Brdvno;D;2025-01-04 22:56:00
SD;40051;Zvbtwa;D;2025-01-04 23:00:00
SD;40051;Zvo;D;2025-01-04 23:02:00
SD;40051;Zvg;D;2025-01-04 23:03:00
SD;40051;Brdvno;D;2025-03-14 23:39:00
SD;40051;Zvbtwa;D;2025-03-14 23:44:00
SD;40051;Zvo;D;2025-03-14 23:45:00
SD;40051;Zvg;D;2025-03-14 23:46:00
SD;40084;Zvg;D;2025-02-06 03:59:00
SD;40084;Zvo;D;2025-02-06 04:00:00
SD;40084;Zvbtwa;D;2025-02-06 04:01:00
SD;40084;Brdvno;D;2025-02-06 04:05:00
SD;40094;Zvg;D;2025-02-04 15:39:00
SD;40094;Zvo;D;2025-02-04 15:40:00
SD;40094;Zvbtwa;D;2025-02-04 15:41:00
SD;40094;Brdvno;D;2025-02-04 15:45:00
SD;40094;Zvg;D;2025-02-06 16:29:00
